ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
1,衛部健食字第A00235號,桂格100%喝的燕麥(顆粒微甜口味),調節血脂,β-聚葡萄醣,佳格食品股份有限公司,(1)攝取本產品應取代等量之日常穀類飲食（375毫升約等於0.6碗白飯）。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=261
2,衛部健食字第A00237號,桂格美味大燕麥片 莓果優格風味,"調節血脂, 免疫調節",β-聚葡萄糖：1.2~1.8公克/ 58.5公克,佳格食品股份有限公司,(1)本產品含砂糖，請注意熱量攝取。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=251
3,衛部健食字第A00238號,極品綠寶藻精王®滋補飲,延緩衰老功能,總多酚,台灣綠藻工業股份有限公司,無。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=248
4,衛部健食字第A00239號,KG美窈飲-高纖無糖玄米綠茶口味,調節血脂功能,菊糖,聯華食品工業股份有限公司,本品含有菊苣纖維，飲用後可促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者，請停止飲用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=245
5,衛部健食字第A00241號(本證失效),LS-66®孢子乳酸菌粉末 (自衛授食字第1071302587號公告實施日〔108年7月1日〕起不得製造),胃腸功能改善,活性乳酸菌; Bacillus coagulans,遠東生物科技股份有限公司,糖尿病患者欲食用前，請先徵詢醫師意見。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=246
6,衛部健食字第A00242號(本證失效),百內爾BN999膠囊食品,免疫調節,「異黃酮：11.7 ± 2.3 mg/份。」 ：2.34 ± 0.46 mg/顆,崇賢國際興業股份有限公司,1.有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。 2.請依建議攝取量食用，勿食用過量。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=409
7,衛部健食字第A00243號,愛之味麥仔茶,胃腸功能改善,含異麥芽寡醣,愛之味股份有限公司,無特殊警語,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=247
8,衛部健食字第A00245號,悠康-納麴Q10膠囊,調節血脂,Monacolin K,永甲興業股份有限公司,1. 患有嚴重疾病、感染症、肝病或外科手術等情況，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=270
9,衛部健食字第A00247號,高纖馬鈴薯濃湯,胃腸功能改善,總膳食纖維,馬玉山食品工業股份有限公司,1.多食無益。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=284
10,衛部健食字第A00248號,膳纖熟飯 健康雙麥飯,調節血脂,β-glucan,華強實業股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=260
11,衛部健食字第A00249號,保衛參,胃腸功能改善,人參配醣體,信東生技股份有限公司園區分公司,勿超過建議用量，若有不適情況產生，應立即停止食用並就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=256
12,衛部健食字第A00250號,健康3D錠狀食品,"調節血脂, 調節血糖",Monacolin K,統一企業股份有限公司,本品與降血脂藥(statin 及 fibrate 類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=257
13,衛部健食字第A00251號,麗豐益生暢粉末,胃腸功能改善,總活性乳酸菌,麗豐實業股份有限公司,本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，如有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=258
14,衛部健食字第A00252號,TS6®健康有益菌,胃腸功能改善,總乳酸菌 ＞ 2×10^8 CFU/2 克,天賜爾生物科技股份有限公司,無。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=265
15,衛部健食字第A00253號,優生北蟲草(蛹蟲草)子實體膠囊,護肝,蟲草素及腺苷為品質管制指標成分,優生生物科技股份有限公司,1.AST(GOT)、ALT(GPT)持續異常升高可能是肝病變所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=262
16,衛部健食字第A00254號,賜百齡®藍藻錠,免疫調節,藻藍素,南寶國際生物科技股份有限公司,有免疫相關疾病者，請謹慎食用或諮詢醫師的意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=282
17,衛部健食字第A00256號,御茶園特撰日式綠茶,調節血脂,兒茶素,維他露食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=264
18,衛部健食字第A00257號,福樂鈣多多健康機能牛乳-全脂配方,骨質保健,鈣,佳格食品股份有限公司,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=280
19,衛部健食字第A00259號,台糖鈣股力(粉末食品),骨質保健,果寡醣，鈣,台灣糖業股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=275
20,衛部健食字第A00260號,大發里亞濃縮細粒,骨質保健,每1包2公克含品管指標成分-Epicatechin-3-O-β-D- allop,臻里生物科技股份有限公司,1.請依建議攝取量食用，多食無益。孕婦及哺乳婦女不要使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=272
21,衛部健食字第A00261號,洛神花健康膠囊,"不易形成體脂肪, 護肝",沒食子酸gallic acid,愛之味股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=279
22,衛部健食字第A00262號,健康蕎麥茶,不易形成體脂肪,菊苣纖維,光泉牧場股份有限公司,本產品含有菊苣纖維，飲用後會促進腸道蠕動，並產生脹氣及排氣現象，若有不適者請停止飲用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=285
23,衛部健食字第A00263號,櫻桃姬補鐵精華液,促進鐵吸收,亞鐵,黑松股份有限公司,1.孕婦或接受醫師治療者，請與醫生商討後再飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=278
24,衛部健食字第A00264號,每朝健康氣泡茶風味飲料,不易形成體脂肪,難消化性麥芽糊精,維他露食品股份有限公司,(1)生長發育中兒童及青少年不建議食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=287
25,衛部健食字第A00265號,ADR-1益生菌膠囊,調節血糖,羅伊氏乳桿菌,景岳生物科技股份有限公司,嬰幼兒與免疫功能不全患者，請先洽詢醫師或營養師有關食用本品之意見，再決定是否使用本品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=277
26,衛部健食字第A00266號,李時珍四物大補帖(飲品),促進鐵吸收,甘胺酸亞鐵含量 42±8 毫克/瓶,中天生物科技股份有限公司,1.孕婦或接受醫師治療者，請與醫師商討後再飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=289
27,衛部健食字第A00267號,歐典生機養生黑木耳,胃腸功能改善,總膳食纖維,歐典生物科技股份有限公司,1.適用對象不包括兒童(內有固形物，請細嚼慢嚥)。2.食用本產品後若有產生排氣及脹氣現象時，如有不適者，請停止飲用。3.,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=288
28,衛部健食字第A00268號,深海魚油薑黃+E膠囊,調節血脂,Omega-3 acids,國家級生醫科技股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈．．．等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=296
29,衛部健食字第A00269號,草本複方膠囊,護肝,"Curcumin26.0 ± 5.2 mg/g 
Daidzein107.9 ±",中天生物科技股份有限公司,1.GOT(AST)、GPT(ALT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=290
30,衛部健食字第A00270號,活源蔘膠囊,抗疲勞,總人蔘配醣體,創益生技股份有限公司,如有不適產生應立即停止食用並就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=293
31,衛部健食字第A00271號,舒敏佳膠囊,輔助調整過敏體質,總活性乳酸菌,創益生技股份有限公司,有免疫相關疾病者請先諮詢醫師後謹慎食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=294
32,衛部健食字第A00272號,長庚冬蟲夏草菌絲體膠囊,抗疲勞,Adenosine,長庚生物科技股份有限公司,本產品發酵培養基含大豆成分，過敏體質者，請諮詢醫師或醫療專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=292
33,衛部健食字第A00273號,健護牛乳,免疫調節,每100 mL含半乳寡糖1.12 ~1.68 g,愛之味股份有限公司,有乳糖不耐症者，應避免飲用。有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=298
34,衛部健食字第A00274號,優青素膠原藤黃果膠囊,不易形成體脂肪,"綠原酸
羥基檸檬酸",臺鹽實業股份有限公司,1.12歲以下孩童、孕婦、消化不良與重大疾病患者不宜食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=300
35,衛部健食字第A00275號,優生牛樟芝固態培養菌絲體膠囊,護肝,"每份膠囊含粗三帖烯6.32~9.48 毫克、Adenosine
0.20~0.3",優生生物科技股份有限公司,1. AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1466
36,衛部健食字第A00276號,海礦1400,調節血脂,鎂,台灣海洋深層水股份有限公司,腎功能不佳者，請遵循醫師指示飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=297
37,衛部健食字第A00277號,舒敏靈芝王靈芝菌絲體膠囊,輔助調整過敏體質,靈芝多醣60~90 mg/粒。,葡萄王生技股份有限公司,(1)本產品含大豆及麩質之穀物製品，有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。(2)多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=305
38,衛部健食字第A00278號,天恩牛樟芝固態培養菌絲體膠囊,護肝,"可能總三萜類5.20±1.04 mg/每份/每顆
腺苷0.040±0.008 m",天恩開發國際企業股份有限公司,1. ALT(GPT)、AST(GOT)值持續異常升高可能是肝臟疾病所引起，應立即,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=301
39,衛部健食字第A00280號,萃益敏益生菌,"輔助調整過敏體質, 胃腸功能改善",品管指標成分：總乳酸菌 2×10^9 CFU/2 g 以上,長行生物科技股份有限公司,1.有免疫相關疾病者，請謹慎食用並諮詢醫師的意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=309
40,衛部健食字第A00281號,益菌健康膠囊,"輔助調整過敏體質, 免疫調節",總乳酸菌,聯華食品工業股份有限公司,1.本產品不能取代正規醫療及相關藥品，有免疫相關疾病者，食用前請洽詢醫師食用本產品之意見，並謹慎食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=308
41,衛部健食字第A00282號,Dr. Sun益生菌,"輔助調整過敏體質, 胃腸功能改善",品管指標成分：總乳酸菌2×10^9 CFU/2 g以上,多利生醫股份有限公司,1. 有免疫相關疾病者，請謹慎食用並諮詢醫師的意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=310
42,衛部健食字第A00283號,統一多多順暢活菌發酵乳,胃腸功能改善,副乾酪乳桿菌YB100＞1.0×10^7 CFU/mL,統一企業股份有限公司,本產品含難消化性麥芽糊精，飲用後可能產生排氣與脹氣現象，若有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=312
43,衛部健食字第A00284號,加特福GT&F奶粉,調節血糖,每一份量  含三價鉻  160 ~ 200 微克,加特福生物科技股份有限公司,1. 本產品並非治療及矯正疾病之藥品,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=306
44,衛部健食字第A00285號,欣樂飲,胃腸功能改善,每份含量：橙皮苷0.6~1.2毫克,無限極國際有限公司,若正值懷孕、授乳或服用藥物等情況，請先洽詢醫師或營養師的意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=311
45,衛部健食字第A00286號,枕無憂極萃50芝麻膠囊,護肝,每一份量含有：芝麻素47.0±9.4 毫克,富味鄉食品股份有限公司,1.AST(GOT)和ALT(GPT)值持續異常升高可能是肝病變所引起，請立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=316
46,衛部健食字第A00287號,檸檬酸鈣細顆粒,骨質保健,"本產品之保健功效為產品整體的綜合結果，本產品以「鈣」為指標成分，含量為
268.",生展生物科技股份有限公司,1. 本產品含砂糖，糖尿病等相關疾病者，食用前應請教醫師或營養師之意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=325
47,衛部健食字第A00289號,娘家大紅麴膠囊,"調節血脂, 調節血糖, 延緩衰老","Monascin	2.84 – 4.20 毫克/粒
Ankaflavin	1.2",晨暉生物科技股份有限公司,1.藥物治療者，服藥前請先與醫師討論,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=322
48,衛部健食字第A00290號,燕麥高纖無加糖鮮豆漿,"調節血脂, 胃腸功能改善","保健功效成分含量	每100毫升
調節血脂:黃豆蛋白2.7~4.1公克
調節血脂、",光泉牧場股份有限公司,1.產品含有菊苣纖維，飲用後可能會促進腸道蠕動、並產生脹氣及排氣等現象，若有不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=314
49,衛部健食字第A00291號,安怡TM長青高鈣奶粉,骨質保健,鈣、菊苣纖維,香港商遠東恆天然乳品有限公司台灣分公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=318
50,衛部健食字第A00292號,麗豐牛樟芝菌絲體膠囊,護肝,每一份量1 粒膠囊，共606 mg ，含Adenosine 含量為0.275±0,麗豐實業股份有限公司,（1）AST (GOT)、ALT (GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=319
51,衛部健食字第A00293號,263乳酸菌膠囊,"調節血脂, 不易形成體脂肪",每份2顆以含有羅伊氏乳桿菌GMNL®-263≧2×10^10 cells為品管指,景岳生物科技股份有限公司,無特殊警語,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1582
52,衛部健食字第A00294號,你滋美得新淨寶粉末食品,胃腸功能改善,膳食纖維,景華生技股份有限公司,1.食用本產品後若有產生排氣及脹氣現象時，若有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=326
53,衛部健食字第A00295號,船井牛奶鈣魚膠原粉,骨質保健,鈣  6~9 g/100 g,船井生醫股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=324
54,衛部健食字第A00296號,純喫茶無糖綠茶,調節血脂,兒茶素30~46 毫克/100 毫升,統一企業股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=320
55,衛部健食字第A00298號,老協珍刺參精,抗疲勞,以Arginine、Valine及Leucine三種胺基酸為品管指標成分,老協珍股份有限公司,1. 如有特殊體質、海鮮過敏、服用藥物、重大手術，請仔細研讀產品成份，或與營養師及醫藥專業人士諮詢。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=333
56,衛部健食字第A00300號,新安琪兒愛關寶奶粉,骨質保健功能,鈣,端強實業股份有限公司,1.本產品為健康食品不能取代正規醫療及相關藥品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=331
57,衛部健食字第A00301號,LP33®益生菌膠囊,"輔助調整過敏體質, 免疫調節","每份含總乳酸菌數≧2500000000 CFU, LP33®菌≧50000000",統一企業股份有限公司,免疫疾病者、孕婦、幼兒，請洽詢醫師意見小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=329
58,衛部健食字第A00302號,葡耐因膠囊,調節血糖,以聚葡萄糖為品管指標,得生製藥股份有限公司,本產品非屬治療及矯正疾病用藥品，糖尿病患者仍需就醫治療。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=332
59,衛部健食字第A00305號,蔘元素膠囊,護肝,人參皂苷,金宏裕生物科技有限公司,1.本產品為健康食品不能取代正規醫療及相關藥品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=341
60,衛部健食字第A00307號,活漅素膠囊,促進鐵吸收功能,甘氨酸亞鐵,美樂佛國際行銷有限公司,1. 非因缺鐵而引起貧血之患者不建議食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=338
61,衛部健食字第A00308號,檸檬茶,胃腸功能改善,異麥芽寡醣,台灣第一生化科技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=342
62,衛部健食字第A00309號,葡萄王黃金康貝特能量飲料,抗疲勞,105毫升含有牛磺酸1470毫克,葡萄王生技股份有限公司,本品含咖啡因，過量容易對身體產生傷害，且勿與酒精、運動飲料混用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=347
63,衛部健食字第A00310號,御沛方雄蜂精,護肝功能,1.水解胺基酸A、丙胺酸與精胺酸 )為指標成分 2.水解胺基酸B、異白胺酸與纈胺,源穎生技股份有限公司,以下對象食用時請先洽詢醫師或營養師有關食用本品之意見： 1.妊娠、哺乳婦女、服用藥物、手術前後者 2.AST(GOT)、,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=410
64,衛部健食字第A00311號,安怡TM關鍵高鈣奶粉,骨質保健功能,"每一份30公克含保健功效相關成分：
保健功效成分鈣600±90毫克
保健品管指標",香港商遠東恆天然乳品有限公司台灣分公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=345
65,衛部健食字第A00312號,安怡TM高鈣奶粉,骨質保健功能,"每一份30公克含保健功效相關成分：
保健功效成分：鈣501±99毫克
保健品管指",香港商遠東恆天然乳品有限公司台灣分公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=346
66,衛部健食字第A00313號,烏骨雞滴雞精,抗疲勞,總支鏈胺基酸,高野健康生技股份有限公司,支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=343
67,衛部健食字第A00314號,珍寶干錠,護肝功能,肝醣、薑黃素,美樂佛國際行銷有限公司,1.AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=344
68,衛部健食字第A00315號,好味粥,胃腸功能改善,木寡糖,香港商田原香有限公司台灣分公司,攝取本產品應取代等熱量之日常飲食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=348
69,衛部健食字第A00316號,佳固力錠,骨質保健,槲皮素,榮澤生技股份有限公司,不宜多食,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=350
70,衛部健食字第A00318號,膠原糖胺粉Plus,骨質保健,大豆苷元、金雀異黃酮,普新生技股份有限公司,1. 不建議兒童、少年、孕婦、哺乳期婦女、婦科腫瘤患者或有其家族病史者食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=349
71,衛部健食字第A00319號,懷特益能強®膠囊,抗疲勞,刺五加苷B,懷特生技新藥股份有限公司,使用本品如有任何不適，請立即停止食並洽詢醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=352
72,衛部健食字第A00320號,樟芝人參滋補液,"抗疲勞, 護肝",腺苷、牛磺酸,台塑生醫科技股份有限公司,1. AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=351
73,衛部健食字第A00321號,NK有益甘膠囊,護肝功能,沒食子酸、丹參酚酸B,莊松榮製藥廠股份有限公司,1.本品不能代替藥物。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=360
74,衛部健食字第A00322號,L-137®植物乳酸菌膠囊,"輔助調整過敏體質, 免疫調節",熱去活植物乳酸菌,創百股份有限公司,1.有自體免疫相關疾病者請先諮詢醫師後，再謹慎食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=356
75,衛部健食字第A00323號,威瑪舒培®大豆萃取物膠囊,骨質保健功能,總大豆異黃酮,易陞植物生技有限公司,本產品依照建議攝取量所含大豆異黃酮為32.22~48.42mg/粒，不應過量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=359
76,衛部健食字第A00324號,FIP100纖維粉,"調節血脂, 調節血糖, 胃腸功能改善","【7克/包】
保健功效相關成分含量，每份含
總膳食纖維   5.67~6.93公",船井生醫股份有限公司,1.食用本產品後若有排氣及脹氣現象時，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=354
77,衛部健食字第A00326號,健祐全PPLs®精華液,免疫調節功能,Propolin G,美仕德股份有限公司,1. 請依建議攝食量用，勿食用過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=375
78,衛部健食字第A00327號,杏克醣顆粒,調節血糖功能,難消化性麥芽糊精、三價鉻,杏輝藥品工業股份有限公司,(1)本產品非屬治療及矯正疾病用藥品，糖尿病患者仍需就醫治療。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=361
79,衛部健食字第A00328號,LACTIS樂蒂斯(乳酸菌大豆發酵萃取液),免疫調節功能,總大豆異黃酮,洛特企業有限公司,1. 正在服用抗凝血劑者，如阿斯匹靈...等凝血功能不全者、孕婦或糖尿病患者，食用前請先徵詢醫生意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=368
80,衛部健食字第A00329號,羅伊敏膠囊,輔助調整過敏體質功能,羅伊氏乳桿菌,生達化學製藥股份有限公司,有免疫相關疾病者，請謹慎食用並諮詢醫師的意見。本產品含菊糖，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=372
81,衛部健食字第A00330號,每朝健康双纖綠茶,"不易形成體脂肪, 胃腸功能改善","難消化性麥芽糊精 0.85 - 1.15 公克/100 毫升
菊苣纖維 0.52",維他露食品股份有限公司,食用本產品後可能會產生排氣與脹氣現象，若有不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=358
82,衛部健食字第A00331號,你滋美得 沛霸軟膠囊,調節血脂,次亞麻油酸,景華生技股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=357
83,衛部健食字第A00332號,倍熱®極纖錠,不易形成體脂肪功能,綠原酸、羥基檸檬酸,船井生醫股份有限公司,一日請勿超過4顆，多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=363
84,衛部健食字第A00333號,“鐵牛”養生滋補龜鹿飲,骨質保健,"品管指標成分
原兒茶酸1.36-2.04 mg/瓶",旺霖製藥工業有限公司,1. 本產品含菊糖，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=366
